Store;Description;Store_Brand
ST96;Creative Images LLC (CI2);MZ43
ST1;Creative Images LLC (CI3);MZ43
ST1005;Creative Images LLC (CI4);MZ43
ST107;Creative Images LLC (CI5);MZ43
ST108;Creative Images LLC (CI6);MZ43
ST1088;Creative Images LLC (CI7);MZ43
ST1094;Creative Images LLC (CI8);MZ43
ST112;Creative Images LLC (CI9);MZ43
ST121;Creative Images LLC (CI10);MZ43
ST124;Creative Images LLC (CI11);MZ43
ST135;Creative Images LLC (CI12);MZ43
ST136;Creative Images LLC (CI13);MZ43
ST155;Creative Images LLC (CI14);MZ43
ST157;Creative Images LLC (CI15);MZ43
ST168;Creative Images LLC (CI16);MZ43
ST170;Creative Images LLC (CI17);MZ43
ST18;Creative Images LLC (CI18);MZ43
ST190;Creative Images LLC (CI19);MZ43
ST20;Creative Images LLC (CI20);MZ43
ST208;Creative Images LLC (CI21);MZ43
ST274;Creative Images LLC (CI22);MZ43
ST33;Creative Images LLC (CI23);MZ43
ST404;Creative Images LLC (CI24);MZ43
ST931;Deals Direct (DD1);M0YU
ST643;Deals Direct (DD2);M0YU
ST650;Deals Direct (DD3);M0YU
ST673;Deals Direct (DD4);M0YU
ST676;Deals Direct (DD5);M0YU
ST694;Deals Direct (DD6);M0YU
ST695;Deals Direct (DD7);M0YU
ST701;Deals Direct (DD8);M0YU
ST713;Deals Direct (DD9);M0YU
ST718;Deals Direct (DD10);M0YU
ST841;Deals2U (D2U1);MGD5
ST177;Deals2U (D2U2);MGD5
ST22;Deals2U (D2U3);MGD5
ST228;Deals2U (D2U4);MGD5
ST25;Deals2U (D2U5);MGD5
ST392;Deals2U (D2U6);MGD5
ST57;Deals2U (D2U7);MGD5
ST588;Deals2U (D2U8);MGD5
ST598;Deals2U (D2U9);MGD5
ST610;Deals2U (D2U10);MGD5
ST632;Deals2U (D2U11);MGD5
ST645;Deals2U (D2U12);MGD5
ST406;Dollar Village (DV1);M2RF
ST432;Dollar Village (DV2);M2RF
ST59;Dollar Village (DV3);M2RF
ST602;Dollar Village (DV4);M2RF
ST606;Dollar Village (DV5);M2RF
ST612;Dollar Village (DV6);M2RF
ST626;Dollar Village (DV7);M2RF
ST640;Dollar Village (DV8);M2RF
ST759;Dollar Village (DV9);M2RF
ST776;Dollar Village (DV10);M2RF
ST777;Dollar Village (DV11);M2RF
ST78;Dollar Village (DV12);M2RF
ST793;Dollar Village (DV13);M2RF
ST795;Dollar Village (DV14);M2RF
ST797;Dollar Village (DV15);M2RF
ST810;Dollar Village (DV16);M2RF
ST816;Dollar Village (DV17);M2RF
ST818;Dollar Village (DV18);M2RF
ST82;Dollar Village (DV19);M2RF
ST843;Dollar Village (DV20);M2RF
ST845;Dollar Village (DV21);M2RF
ST860;Dollar Village (DV22);M2RF
ST872;Dollar Village (DV23);M2RF
ST914;Dollar Village (DV24);M2RF
ST945;Dollar Village (DV25);M2RF
ST375;Eiffel Expo (EE1);MJO9
ST376;Eiffel Expo (EE2);MJO9
ST377;Eiffel Expo (EE3);MJO9
ST378;Eiffel Expo (EE4);MJO9
ST380;Eiffel Expo (EE5);MJO9
ST381;Eiffel Expo (EE6);MJO9
ST383;Eiffel Expo (EE7);MJO9
ST981;Eiffel Expo (EE8);MJO9
ST393;Ekeland Exports (EkEx1);MCUI
ST398;Ekeland Exports (EkEx2);MCUI
ST399;Ekeland Exports (EkEx3);MCUI
ST416;Ekeland Exports (EkEx4);MCUI
ST418;Ekeland Exports (EkEx5);MCUI
ST423;Ekeland Exports (EkEx6);MCUI
ST427;Ekeland Exports (EkEx7);MCUI
ST435;Ekeland Exports (EkEx8);MCUI
ST437;Ekeland Exports (EkEx9);MCUI
ST439;Ekeland Exports (EkEx10);MCUI
ST441;Ekeland Exports (EkEx11);MCUI
ST976;Ekeland Exports (EkEx12);MCUI
ST1031;Farm Market (FM1);MTY7
ST1100;Farm Market (FM2);MTY7
ST159;Farm Market (FM3);MTY7
ST51;Farm Market (FM4);MTY7
ST570;Farm Market (FM5);MTY7
ST687;Farm Market (FM6);MTY7
ST725;Farm Market (FM7);MTY7
ST726;Farm Market (FM8);MTY7
ST735;Farm Market (FM9);MTY7
ST849;Farm Market (FM10);MTY7
ST898;Farm Market (FM11);MTY7
ST1011;Finn Depot (FD1);MLV4
ST113;Finn Depot (FD2);MLV4
ST116;Finn Depot (FD3);MLV4
ST130;Finn Depot (FD4);MLV4
ST144;Finn Depot (FD5);MLV4
ST3;Finn Depot (FD6);MLV4
ST367;Finn Depot (FD7);MLV4
ST384;Finn Depot (FD8);MLV4
ST578;Finn Depot (FD9);MLV4
ST630;Finn Depot (FD10);MLV4
ST674;Finn Depot (FD11);MLV4
ST679;Finn Depot (FD12);MLV4
ST727;Finn Depot (FD13);MLV4
ST799;Finn Depot (FD14);MLV4
ST815;Finn Depot (FD15);MLV4
ST854;Finn Depot (FD16);MLV4
ST87;Finn Depot (FD17);MLV4
ST885;Finn Depot (FD18);MLV4
ST902;Finn Depot (FD19);MLV4
ST947;Finn Depot (FD20);MLV4
ST99;Finnys (Finn1);M1JT
ST1008;Finnys (Finn2);M1JT
ST102;Finnys (Finn3);M1JT
ST1040;Finnys (Finn4);M1JT
ST105;Finnys (Finn5);M1JT
ST1054;Finnys (Finn6);M1JT
ST1092;Finnys (Finn7);M1JT
ST696;Finnys (Finn8);M1JT
ST70;Finnys (Finn9);M1JT
ST752;Finnys (Finn10);M1JT
ST774;Finnys (Finn11);M1JT
ST775;Finnys (Finn12);M1JT
ST789;Finnys (Finn13);M1JT
ST808;Finnys (Finn14);M1JT
ST812;Finnys (Finn15);M1JT
ST850;Finnys (Finn16);M1JT
ST855;Finnys (Finn17);M1JT
ST864;Finnys (Finn18);M1JT
ST900;Finnys (Finn19);M1JT
ST944;Finnys (Finn20);M1JT
ST5;Flavia (FL1);MY4D
ST586;Flavia (FL2);MY4D
ST661;Flavia (FL3);MY4D
ST779;Flavia (FL4);MY4D
ST805;Flavia (FL5);MY4D
ST878;Flavia (FL6);MY4D
ST283;Flavias Corner (FC1);MVDL
ST286;Flavias Corner (FC2);MVDL
ST287;Flavias Corner (FC3);MVDL
ST289;Flavias Corner (FC4);MVDL
ST291;Flavias Corner (FC5);MVDL
ST294;Flavias Corner (FC6);MVDL
ST296;Flavias Corner (FC7);MVDL
ST297;Flavias Corner (FC8);MVDL
ST298;Flavias Corner (FC9);MVDL
ST299;Flavias Corner (FC10);MVDL
ST300;Flavias Corner (FC11);MVDL
ST302;Flavias Corner (FC12);MVDL
ST305;Flavias Corner (FC13);MVDL
ST306;Flavias Corner (FC14);MVDL
ST307;Flavias Corner (FC15);MVDL
ST71;Flavias Corner (FC16);MVDL
ST956;Forage (F1);MKBA
ST88;Forage (F2);MKBA
ST880;Forage (F3);MKBA
ST90;Forage (F4);MKBA
ST903;Forage (F5);MKBA
ST719;Forix Pets (FP1);ME2U
ST728;Forix Pets (FP2);ME2U
ST730;Forix Pets (FP3);ME2U
ST748;Forix Pets (FP4);ME2U
ST755;Forix Pets (FP5);ME2U
ST962;Forix Pets (FP6);ME2U
ST442;French Connect (FC1);M9X9
ST457;French Connect (FC2);M9X9
ST50;French Connect (FC3);M9X9
ST546;French Connect (FC4);M9X9
ST553;French Connect (FC5);M9X9
ST56;French Connect (FC6);M9X9
ST566;French Connect (FC7);M9X9
ST928;French Connect (FC8);M9X9
ST596;French Connect (FC9);M9X9
ST618;French Connect (FC10);M9X9
ST658;French Connect (FC11);M9X9
ST1004;FTK Mart (FTK1);MCNA
ST1023;FTK Mart (FTK2);MCNA
ST171;FTK Mart (FTK3);MCNA
ST184;FTK Mart (FTK4);MCNA
ST188;FTK Mart (FTK5);MCNA
ST193;FTK Mart (FTK6);MCNA
ST331;FTK Mart (FTK7);MCNA
ST40;FTK Mart (FTK8);MCNA
ST409;FTK Mart (FTK9);MCNA
ST548;FTK Mart (FTK10);MCNA
ST60;FTK Mart (FTK11);MCNA
ST700;FTK Mart (FTK12);MCNA
ST712;FTK Mart (FTK13);MCNA
ST724;FTK Mart (FTK14);MCNA
ST772;FTK Mart (FTK15);MCNA
ST859;FTK Mart (FTK16);MCNA
ST86;FTK Mart (FTK17);MCNA
ST867;FTK Mart (FTK18);MCNA
ST967;Future World (FW1);M3OZ
ST532;Future World (FW2);M3OZ
ST554;Future World (FW3);M3OZ
ST563;Future World (FW4);M3OZ
ST615;Future World (FW5);M3OZ
ST635;Future World (FW6);M3OZ
ST863;Future World (FW7);M3OZ
ST938;Future World (FW8);M3OZ
ST483;G.S.K. (GSK1);MSBR
ST485;G.S.K. (GSK2);MSBR
ST488;G.S.K. (GSK3);MSBR
ST489;G.S.K. (GSK4);MSBR
ST494;G.S.K. (GSK5);MSBR
ST496;G.S.K. (GSK6);MSBR
ST547;G.S.K. (GSK7);MSBR
ST556;G.S.K. (GSK8);MSBR
ST558;G.S.K. (GSK9);MSBR
ST569;G.S.K. (GSK10);MSBR
ST690;G.S.K. (GSK11);MSBR
ST953;G.S.K. (GSK12);MSBR
ST217;German Imports (GI1);MHQ2
ST257;German Imports (GI2);MHQ2
ST258;German Imports (GI3);MHQ2
ST259;German Imports (GI4);MHQ2
ST263;German Imports (GI5);MHQ2
ST265;German Imports (GI6);MHQ2
ST266;German Imports (GI7);MHQ2
ST268;German Imports (GI8);MHQ2
ST269;German Imports (GI9);MHQ2
ST957;German Imports (GI10);MHQ2
ST1003;Gerrit's Place (GP1);MFQ1
ST213;Gerrit's Place (GP2);MFQ1
ST222;Gerrit's Place (GP3);MFQ1
ST527;Gerrit's Place (GP4);MFQ1
ST551;Gerrit's Place (GP5);MFQ1
ST657;Gerrit's Place (GP6);MFQ1
ST819;Gerrit's Place (GP7);MFQ1
ST119;Go Go Jo (GGJ1);M7HT
ST187;Go Go Jo (GGJ2);M7HT
ST227;Go Go Jo (GGJ3);M7HT
ST256;Go Go Jo (GGJ4);M7HT
ST396;Go Go Jo (GGJ5);M7HT
ST440;Go Go Jo (GGJ6);M7HT
ST574;Go Go Jo (GGJ7);M7HT
ST733;Go Go Jo (GGJ8);M7HT
ST994;Good Foods (GF1);M2HI
ST153;Good Foods (GF2);M2HI
ST241;Good Foods (GF3);M2HI
ST250;Good Foods (GF4);M2HI
ST276;Good Foods (GF5);M2HI
ST281;Good Foods (GF6);M2HI
ST288;Good Foods (GF7);M2HI
ST293;Good Foods (GF8);M2HI
ST311;Good Foods (GF9);M2HI
ST313;Good Foods (GF10);M2HI
ST348;Good Foods (GF11);M2HI
ST363;Good Foods (GF12);M2HI
ST368;Good Foods (GF13);M2HI
ST413;Good Foods (GF14);M2HI
ST428;Good Foods (GF15);M2HI
ST430;Good Foods (GF16);M2HI
ST438;Good Foods (GF17);M2HI
ST453;Good Foods (GF18);M2HI
ST479;Good Foods (GF19);M2HI
ST491;Good Foods (GF20);M2HI
ST501;Good Foods (GF21);M2HI
ST1075;Good Mondays (GM1);MONL
ST387;Good Mondays (GM2);MONL
ST721;Hollywood Store (HS1);MLOA
ST722;Hollywood Store (HS2);MLOA
ST731;Hollywood Store (HS3);MLOA
ST738;Hollywood Store (HS4);MLOA
ST740;Hollywood Store (HS5);MLOA
ST751;Hollywood Store (HS6);MLOA
ST762;Hollywood Store (HS7);MLOA
ST763;Hollywood Store (HS8);MLOA
ST770;Hollywood Store (HS9);MLOA
ST773;Hollywood Store (HS10);MLOA
ST782;Hollywood Store (HS11);MLOA
ST783;Hollywood Store (HS12);MLOA
ST831;Hollywood Store (HS13);MLOA
ST906;Hollywood Store (HS14);MLOA
ST908;Hollywood Store (HS15);MLOA
ST913;Hollywood Store (HS16);MLOA
ST942;Hollywood Store (HS17);MLOA
ST943;Hollywood Store (HS18);MLOA
ST950;Hollywood Store (HS19);MLOA
ST98;iChannel (iCH1);MJK2
ST1015;iChannel (iCH2);MJK2
ST1032;iChannel (iCH3);MJK2
ST1034;iChannel (iCH4);MJK2
ST1039;iChannel (iCH5);MJK2
ST1043;iChannel (iCH6);MJK2
ST1053;iChannel (iCH7);MJK2
ST1055;iChannel (iCH8);MJK2
ST1081;iChannel (iCH9);MJK2
ST1084;iChannel (iCH10);MJK2
ST1086;iChannel (iCH11);MJK2
ST1087;iChannel (iCH12);MJK2
ST1098;iChannel (iCH13);MJK2
ST120;iChannel (iCH14);MJK2
ST156;iChannel (iCH15);MJK2
ST219;iChannel (iCH16);MJK2
ST24;iChannel (iCH17);MJK2
ST44;iChannel (iCH18);MJK2
ST580;iChannel (iCH19);MJK2
ST595;iChannel (iCH20);MJK2
ST613;iChannel (iCH21);MJK2
ST625;iChannel (iCH22);MJK2
ST698;iChannel (iCH23);MJK2
ST715;iChannel (iCH24);MJK2
ST787;iChannel (iCH25);MJK2
ST807;iChannel (iCH26);MJK2
ST937;iChannel (iCH27);MJK2
ST699;Jan's Desk (JD1);MITG
ST948;Jan's Desk (JD2);MITG
ST1030;JCons (JC1);MTYM
ST1042;JCons (JC2);MTYM
ST1073;JCons (JC3);MTYM
ST212;JCons (JC4);MTYM
ST37;JCons (JC5);MTYM
ST425;JCons (JC6);MTYM
ST451;JCons (JC7);MTYM
ST512;JCons (JC8);MTYM
ST516;JCons (JC9);MTYM
ST593;JCons (JC10);MTYM
ST688;JCons (JC11);MTYM
ST833;JCons (JC12);MTYM
ST882;JCons (JC13);MTYM
ST925;Jungle Trek (JT1);MPVW
ST474;Jungle Trek (JT2);MPVW
ST486;Jungle Trek (JT3);MPVW
ST517;Jungle Trek (JT4);MPVW
ST576;Jungle Trek (JT5);MPVW
ST899;Jungle Trek (JT6);MPVW
ST9;Jungle Trek (JT7);MPVW
ST1097;Kapoor Savings (KS1);M9OW
ST145;Kapoor Savings (KS2);M9OW
ST23;Kapoor Savings (KS3);M9OW
ST594;Kapoor Savings (KS4);M9OW
ST642;Kapoor Savings (KS5);M9OW
ST1105;Katie Collections (KC1);MD0P
ST176;Katie Collections (KC2);MD0P
ST194;Katie Collections (KC3);MD0P
ST210;Katie Collections (KC4);MD0P
ST242;Katie Collections (KC5);MD0P
ST261;Kelson Emporium (KE1);MXC3
ST270;Kelson Emporium (KE2);MXC3
ST390;Kelson Emporium (KE3);MXC3
ST395;Kelson Emporium (KE4);MXC3
ST420;Kelson Emporium (KE5);MXC3
ST433;Kelson Emporium (KE6);MXC3
ST444;Kelson Emporium (KE7);MXC3
ST449;Kelson Emporium (KE8);MXC3
ST126;Kelson Emporium (KE9);MXC3
ST992;Killam Mart (KM1);MIRY
ST1026;Killam Mart (KM2);MIRY
ST1027;Killam Mart (KM3);MIRY
ST143;Killam Mart (KM4);MIRY
ST192;Killam Mart (KM5);MIRY
ST195;Killam Mart (KM6);MIRY
ST204;Killam Mart (KM7);MIRY
ST215;Killam Mart (KM8);MIRY
ST226;Killam Mart (KM9);MIRY
ST230;Killam Mart (KM10);MIRY
ST247;Killam Mart (KM11);MIRY
ST255;Killam Mart (KM12);MIRY
ST267;Killam Mart (KM13);MIRY
ST32;Killam Mart (KM14);MIRY
ST419;Killam Mart (KM15);MIRY
ST455;Killam Mart (KM16);MIRY
ST318;Laura J's (LJ1);MGX7
ST321;Laura J's (LJ2);MGX7
ST322;Laura J's (LJ3);MGX7
ST323;Laura J's (LJ4);MGX7
ST332;Laura J's (LJ5);MGX7
ST333;Laura J's (LJ6);MGX7
ST887;Laura J's (LJ7);MGX7
ST100;Laurens (L1);MQW2
ST27;Laurens (L2);MQW2
ST84;Laurens (L3);MQW2
ST949;Laurens (L4);MQW2
ST959;Marukai (M1);M30O
ST1085;Mason's (Ma1);M2PT
ST211;Mason's (Ma2);M2PT
ST243;Mason's (Ma3);M2PT
ST492;Mason's (Ma4);M2PT
ST565;Mason's (Ma5);M2PT
ST324;Maverick Productions (MP1);MPWS
ST325;Maverick Productions (MP2);MPWS
ST326;Maverick Productions (MP3);MPWS
ST327;Maverick Productions (MP4);MPWS
ST328;Maverick Productions (MP5);MPWS
ST329;Maverick Productions (MP6);MPWS
ST330;Maverick Productions (MP7);MPWS
ST964;Maverick Productions (MP8);MPWS
ST1021;Miller Center (MC1);M88T
ST1051;Miller Center (MC2);M88T
ST63;Miller Center (MC3);M88T
ST935;Miller Center (MC4);M88T
ST973;Mills Vernon (MV1);MWIS
ST26;Monkey Treehouse (MT1);MYH7
ST284;Monkey Treehouse (MT2);MYH7
ST345;Monkey Treehouse (MT3);MYH7
ST36;Monkey Treehouse (MT4);MYH7
ST481;Monkey Treehouse (MT5);MYH7
ST484;Monkey Treehouse (MT6);MYH7
ST49;Monkey Treehouse (MT7);MYH7
ST497;Monkey Treehouse (MT8);MYH7
ST520;Monkey Treehouse (MT9);MYH7
ST537;Monkey Treehouse (MT10);MYH7
ST564;Monkey Treehouse (MT11);MYH7
ST97;Mosers (Mo1);MYFF
ST1017;Mosers (Mo2);MYFF
ST1019;Mosers (Mo3);MYFF
ST599;Mosers (Mo4);MYFF
ST619;Mosers (Mo5);MYFF
ST691;Mosers (Mo6);MYFF
ST881;Mosers (Mo7);MYFF
ST969;My Credit Coach (MCC1);MI9WS
ST1028;N.W. Markets (NWM1);M55T
ST232;N.W. Markets (NWM2);M55T
ST362;N.W. Markets (NWM3);M55T
ST417;N.W. Markets (NWM4);M55T
ST66;Natural Health (NH1);MW9T
ST74;Natural Health (NH2);MW9T
ST83;Natural Health (NH3);MW9T
ST939;Natural Health (NH4);MW9T
ST603;North Stop (NS1);MY59
ST636;North Stop (NS2);MY59
ST638;North Stop (NS3);MY59
ST641;North Stop (NS4);MY59
ST651;North Stop (NS5);MY59
ST652;North Stop (NS6);MY59
ST655;North Stop (NS7);MY59
ST686;North Stop (NS8);MY59
ST689;North Stop (NS9);MY59
ST692;North Stop (NS10);MY59
ST874;North Stop (NS11);MY59
ST1012;Obry Expo (OE1);MU07
ST1061;Obry Expo (OE2);MU07
ST1083;Obry Expo (OE3);MU07
ST11;Obry Expo (OE4);MU07
